CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas
;;2;2025;11907.0
;;2;2025;129695.95
;;2;2025;4336.68
;;2;2025;92370.83
;;2;2025;17249.32
;;2;2025;574636.15
;;2;2025;4779.63
;;2;2025;20260.12
;;2;2025;184.66
;;2;2025;1590.3
;;2;2025;261764.85
;;2;2025;263133.32
;;2;2025;271260.63
;;2;2025;646046.71
;;2;2025;343708.1
;;2;2025;2425240.65
;;2;2025;307780.83
;;2;2025;23754.13
;;2;2025;45344.09
;;2;2025;190597.31
;;2;2025;217653.35
;;2;2025;420961.43
;;2;2025;89678.72
;;2;2025;735265.75
;;2;2025;912443.92
;;2;2025;2912421.32
;;2;2025;3176648.05
;;2;2025;318064.38
;;2;2025;469838.74
;;2;2025;15878.74
;;2;2025;740691.85
;;2;2025;699494.92
;;2;2025;52872.01
;;2;2025;3528.97
;;2;2025;5380710.83
;;2;2025;7400.0
;;2;2025;33006.69
;;2;2025;248874.92
;;2;2025;-62064.68
;;2;2025;574.72
;;2;2025;54290.92
;;2;2025;23190.48
;;2;2025;1231137.87
;;2;2025;231347.72
;;2;2025;103439.05
;;2;2025;4278135.04
;;2;2025;34655.21
;;2;2025;5025096.64
;;2;2025;245.25
;;2;2025;-36287.74
;;2;2025;11151952.06
;;2;2025;401031.89
;;2;2025;23168491.3
;;2;2025;42901.78
;;2;2025;160483.88
;;2;2025;320445.25
;;2;2025;6960.0
;;2;2025;431982.0
;;2;2025;5181413.75
;;2;2025;1200188.7
;;2;2025;2780356.54
;;2;2025;1100.0
;;2;2025;30079.26
;;2;2025;13891473.19
;;2;2025;46073.13
;;2;2025;2873444.37
;;2;2025;4432255.71
;;2;2025;286339.63
;;2;2025;14791.5
;;2;2025;354386.64
;;2;2025;510678.12
;;2;2025;487908.93
;;2;2025;55505.0
;;2;2025;69094.22
;;2;2025;10263.72
;;2;2025;780169.73
;;2;2025;82086.82
;;2;2025;150.95
;;2;2025;421.03
;;2;2025;3100.0
;;2;2025;21690.0
;;2;2025;17274937.74
;;2;2025;9660934.79
;;2;2025;483405.08
;;2;2025;96692120.67
;;2;2025;1000491.41
;;2;2025;-17643.58
;;2;2025;1645895.01
;;2;2025;1200.0
;;2;2025;115574.9
;;2;2025;28280.42
;;2;2025;192174.08
;;2;2025;419418.87
;;2;2025;530019.84
;;2;2025;15609.64
;;2;2025;143468749.5
;;2;2025;12000.0
;;2;2025;11590.0
;;2;2025;1260360.81
;;2;2025;384862.15
;;2;2025;109101.98
;;2;2025;108468.25
;;2;2025;2900.0
;;2;2025;476489.66
;;2;2025;15000.0
;;2;2025;3647.3
;;2;2025;313634.71
;;2;2025;9000.0
;;2;2025;28231.27
;;2;2025;51634.04
;;2;2025;0.1
;;2;2025;0.04
;;2;2025;988.72
;;2;2025;3305.85
;;2;2025;138183.39
;;2;2025;16000.0
;;2;2025;5176.75
;;2;2025;7479.49
;;2;2025;44809.67
;;2;2025;2697794.23
;;2;2025;483529.94
;;2;2025;3937451.02
;;2;2025;254229.26
;;2;2025;19188.03
;;2;2025;10444.12
;;2;2025;6972.53
;;2;2025;611001.71
;;2;2025;642470.21
;;2;2025;290179.18
;;2;2025;188050.89
;;2;2025;2425.0
;;2;2025;300354.27
;;2;2025;-3060.01
;;2;2025;332934.07
;;2;2025;-278010.01
;;2;2025;201375.85
;;2;2025;223210.83
;;2;2025;1416827.62
;;2;2025;268875.32
;;2;2025;568434.39
;;2;2025;724173.7
;;2;2025;39014.75
;;2;2025;1875804.66
;;2;2025;431298.36
;;2;2025;441510.48
;;2;2025;21398.94
;;2;2025;753185.06
;;2;2025;504616.08
;;2;2025;11206.52
;;2;2025;15882.68
;;2;2025;7564.29
;;2;2025;36585.89
;;2;2025;2611.99
;;2;2025;2742.09
;;2;2025;3173.0
;;2;2025;23966.32
;;2;2025;1800.0
;;2;2025;1200.0
;;2;2025;600.0
;;2;2025;8400.0
;;2;2025;1800.0
;;2;2025;-552621.96
;;2;2025;201227.14
;;2;2025;469096.72
;;2;2025;271527.8
;;2;2025;72989.32
;;2;2025;439907.39
;;2;2025;220177.0
;;2;2025;253636.41
;;2;2025;134144.8
;;2;2025;158902.49
;;2;2025;303784.43
;;2;2025;75023.35
;;2;2025;1280.0
;;2;2025;38285.0
;;2;2025;10000.0
;;2;2025;46379.89
;;2;2025;364608.16
;;2;2025;40902.44
;;2;2025;13221.77
;;2;2025;2940.37
;;2;2025;2053.86
;;2;2025;159482.2
;;2;2025;484836.77
;;2;2025;137789.83
;;2;2025;6970.0
;;2;2025;331530.27
;;2;2025;5178.0
;;2;2025;-148.5
;;2;2025;88775.0
;;2;2025;-7000.0
;;2;2025;2519733.23
;;2;2025;63980.41
;;2;2025;95467.45
;;2;2025;12217.54
;;2;2025;21076.29
;;2;2025;335.17
;;2;2025;337989.57
;;2;2025;65.0
;;2;2025;303907.62
;;2;2025;19800.0
;;2;2025;1529.09
;;2;2025;243633.21
;;2;2025;10627.15
;;2;2025;20191.2
;;2;2025;28393.76
;;2;2025;146915.2
;;2;2025;141709.27
;;2;2025;2397.51
;;2;2025;5200.0
;;2;2025;4680.0
;;2;2025;291405.23
;;2;2025;20254.84
;;2;2025;26262.88
;;2;2025;14478.34
;;2;2025;258.83
;;2;2025;1072.64
;;2;2025;8554.94
;;2;2025;376.08
;;2;2025;5971477.7
;;2;2025;575880.75
;;2;2025;109529.75
;;2;2025;174422.06
;;2;2025;683925.13
;;2;2025;356724.74
;;2;2025;567.66
;;2;2025;3380.66
;;2;2025;2294.61
;;2;2025;9383.61
;;2;2025;1090.88
;;2;2025;551755.95
;;2;2025;132562.05
;;2;2025;762451.15
;;2;2025;315091.81
;;2;2025;74075.39
;;2;2025;31595.67
;;2;2025;35.08
;;2;2025;2600.0
;;2;2025;23400.0
;;2;2025;101457.98
;;2;2025;28241.77
;;2;2025;2093.28
;;2;2025;825719.24
;;2;2025;361375.41
;;2;2025;7035.63
;;2;2025;1832146.44
;;2;2025;28146.84
;;2;2025;34719.85
;;2;2025;16538.5
;;2;2025;7878.0
;;2;2025;50861.0
;;2;2025;13985973.45
;;2;2025;50309271.44
;;2;2025;65954562.3
;;2;2025;18221.4
;;2;2025;-280.39
;;2;2025;333999.19
;;2;2025;163146.38
;;2;2025;82061.98
;;2;2025;1516.88
;;2;2025;4640.99
;;2;2025;85.13
;;2;2025;70572.0
;;2;2025;32623.24
;;2;2025;278.46
;;2;2025;14161.64
;;2;2025;38628.57
;;2;2025;4175.0
;;2;2025;8160.57
;;2;2025;62789.52
;;2;2025;192632.25
;;2;2025;6016.34
;;2;2025;148110.55
;;2;2025;337153.0
;;2;2025;12160.0
;;2;2025;10000.0
;;2;2025;120686.63
;;2;2025;12800.0
;;2;2025;4559.99
;;2;2025;1100.91
;;2;2025;41290.57
;;2;2025;134766.97
;;2;2025;581904.21
;;2;2025;21406.52
;;2;2025;446034.76
;;2;2025;33000.0
;;2;2025;448808.2
;;2;2025;1754883.13
;;2;2025;-4474.7
;;2;2025;10604.93
;;2;2025;13299.14
;;2;2025;7689.02
;;2;2025;2850.0
;;2;2025;268375.33
;;2;2025;401289.94
;;2;2025;9511.61
;;2;2025;973363.85
;;2;2025;404927.43
;;2;2025;68494601.57
;;2;2025;1117223.02
;;2;2025;19837.65
;;2;2025;31453.69
;;2;2025;53694.36
;;2;2025;1537966.56
;;2;2025;4650.0
;;2;2025;475824.51
;;2;2025;64672.0
;;2;2025;384545.32
;;2;2025;442218.42
;;2;2025;167585.42
;;2;2025;96572.52
;;2;2025;19669327.05
;;2;2025;17550.0
;;2;2025;6440150.97
;;2;2025;2050.0
;;2;2025;1302217.33
;;2;2025;450469.73
;;2;2025;907168.76
;;2;2025;35277.98
;;2;2025;33117.83
;;2;2025;1632.49
;;2;2025;46565.96
;;2;2025;7000000.0
;;2;2025;514.06
;;2;2025;21540.0
;;2;2025;221696.62
;;2;2025;180427.45
;;2;2025;2046.09
;;2;2025;448.0
;;2;2025;53850.78
;;2;2025;2611.45
;;2;2025;65759.84
;;2;2025;3250.0
;;2;2025;10722945.67
;;2;2025;2640695.04
;;2;2025;11391915.83
;;2;2025;4539.09
;;2;2025;3417.84
;;2;2025;250.85
;;2;2025;3556.75
;;2;2025;15182.65
;;2;2025;16372.86
;;2;2025;2097475.7
;;2;2025;260797.2
;;2;2025;900728.87
;;2;2025;110156.34
;;2;2025;7522819.84
;;2;2025;1624429.39
;;2;2025;7388581.11
;;2;2025;119105.0
